# =-=-=-=-=-=-=-=-=-=-=
# LOG DATA 
# =-=-=-=-=-=-=-=-=-=-=
#
# =-= Roborobo! 
# =-= Official version tag    : 20120605
# =-= Current build name      : Amsterdam build
# =-= Compilation version tag : Feb 20 2014 - 15:25:38
#
# Loaded time stamp           : 20140220-16h27m29s068643us
#
# random seed             : 1392913649
10 : 6 c 47.9457
10 : 12 c 35.6076
10 : 12 c 35.6076
10 : 12 c 35.6076
10 : 20 c 0.143269
10 : 35 c 6.57248
10 : 39 c 28.7958
10 : 39 c 28.7958
10 : 39 c 28.7958
10 : 44 c 49.8004
10 : 53 c 46.578
10 : 53 c 46.578
10 : 57 c 31.4193
10 : 58 c 1.0847
10 : 65 c 46.9912
10 : 66 c 46.6689
10 : 66 c 46.6689
10 : 66 c 46.6689
10 : 73 c 22.115
10 : 74 c 47.1569
10 : 78 c 34.8402
10 : 85 c 48.0175
10 : 89 c 49.7788
10 : 99 c 0.231182
11 : 5 c 6.3979
11 : 11 c 47.3185
11 : 12 c 42.8197
11 : 18 c 15.0509
11 : 35 c 5.26328
11 : 35 c 5.26328
11 : 44 c 49.6585
11 : 45 c 21.0476
11 : 50 c 13.7532
11 : 53 c 46.5142
11 : 53 c 46.5142
11 : 62 c 24.0428
11 : 65 c 47.4181
11 : 66 c 47.0368
11 : 66 c 47.0368
11 : 74 c 47.2518
11 : 74 c 47.2518
11 : 81 c 33.2557
11 : 83 c 11.8163
11 : 85 c 48.0306
11 : 98 c 46.4284
12 : 4 c 42.1583
12 : 11 c 47.5345
12 : 15 c 3.80997
12 : 19 c 3.24766
12 : 31 c 41.6943
12 : 44 c 49.6657
12 : 44 c 49.6657
12 : 48 c 22.2758
12 : 53 c 46.4023
12 : 53 c 46.4023
12 : 53 c 46.4023
12 : 57 c 30.762
12 : 64 c 49.3648
12 : 65 c 47.5385
12 : 66 c 47.2309
12 : 66 c 47.2309
12 : 74 c 47.2706
13 : 6 c 47.4011
13 : 9 c 5.19484
13 : 11 c 45.9805
13 : 24 c 9.88157
13 : 34 c 34.5154
13 : 44 c 49.6526
13 : 44 c 49.6526
13 : 50 c 18.9177
13 : 52 c 7.30876
13 : 53 c 46.1389
13 : 53 c 46.1389
13 : 53 c 46.1389
13 : 53 c 46.1389
13 : 56 c 4.29655
13 : 63 c 20.0992
13 : 65 c 47.5681
13 : 66 c 47.4209
13 : 74 c 47.3478
13 : 79 c 49.7986
14 : 15 c 3.7666
14 : 27 c 5.62099
14 : 34 c 35.4995
14 : 37 c 29.3933
14 : 37 c 29.3933
14 : 44 c 49.73
14 : 44 c 49.73
14 : 45 c 23.1122
14 : 53 c 44.6673
14 : 53 c 44.6673
14 : 53 c 44.6673
14 : 57 c 31.2896
14 : 65 c 44.9361
14 : 65 c 44.9361
14 : 66 c 47.4417
14 : 70 c 31.1426
14 : 74 c 47.2852
14 : 77 c 32.664
14 : 80 c 48.5358
14 : 87 c 48.2894
14 : 91 c 44.1216
14 : 98 c 46.308
15 : 7 c 39.2324
15 : 11 c 31.3194
15 : 19 c 2.83194
15 : 44 c 49.685
15 : 44 c 49.685
15 : 61 c 22.3951
15 : 65 c 43.0939
15 : 66 c 47.4468
15 : 71 c 27.1419
15 : 74 c 47.2417
15 : 78 c 31.1996
15 : 80 c 47.9712
15 : 90 c 12.5934
15 : 92 c 33.2331
16 : 12 c 40.7248
16 : 20 c 0.119411
16 : 44 c 49.6349
16 : 44 c 49.6349
16 : 53 c 44.9364
16 : 53 c 44.9364
16 : 53 c 44.9364
16 : 65 c 47.622
16 : 66 c 47.4277
16 : 68 c 49.1778
16 : 74 c 47.183
16 : 74 c 47.183
16 : 77 c 45.3994
16 : 80 c 46.7271
16 : 80 c 46.7271
16 : 93 c 25.8121
17 : 12 c 37.3063
17 : 14 c 13.8306
17 : 19 c 2.70187
17 : 36 c 5.2309
17 : 38 c 38.9999
17 : 42 c 14.1095
17 : 42 c 14.1095
17 : 44 c 49.4252
17 : 50 c 20.4993
17 : 54 c 15.1249
17 : 67 c 23.1063
17 : 71 c 26.5694
17 : 80 c 46.7862
17 : 81 c 38.5646
17 : 81 c 38.5646
17 : 87 c 48.048
18 : 11 c 48.3428
18 : 18 c 16.1207
18 : 21 c 43.6911
18 : 21 c 43.6911
18 : 24 c 13.4941
18 : 31 c 7.91663
18 : 44 c 49.4335
18 : 50 c 20.6891
18 : 53 c 46.4627
18 : 53 c 46.4627
18 : 54 c 15.0834
18 : 59 c 24.2318
18 : 62 c 23.3193
18 : 62 c 23.3193
18 : 80 c 45.6295
18 : 81 c 38.7577
18 : 87 c 48.2223
18 : 93 c 18.0051
19 : 3 c 18.837
19 : 11 c 48.852
19 : 14 c 8.0756
19 : 20 c 0.128967
19 : 27 c 31.0452
19 : 28 c 1.87854
19 : 30 c 17.8995
19 : 33 c 26.2555
19 : 38 c 39.092
19 : 44 c 49.3576
19 : 47 c 13.3597
19 : 48 c 11.5862
19 : 48 c 11.5862
19 : 50 c 19.1863
19 : 53 c 46.2898
19 : 53 c 46.2898
19 : 54 c 15.0352
19 : 56 c 7.20002
19 : 56 c 7.20002
19 : 70 c 8.32919
19 : 71 c 23.6295
19 : 82 c 3.75766
19 : 94 c 20.0612
19 : 94 c 20.0612
19 : 95 c 13.8407
19 : 98 c 46.4274
20 : 3 c 17.2596
20 : 11 c 49.3045
20 : 12 c 42.5297
20 : 14 c 8.01426
20 : 20 c 0.115593
20 : 22 c 7.90634
20 : 36 c 15.7665
20 : 36 c 15.7665
20 : 39 c 33.0252
20 : 39 c 33.0252
20 : 39 c 33.0252
20 : 44 c 49.3536
20 : 45 c 22.2461
20 : 53 c 46.4118
20 : 53 c 46.4118
20 : 61 c 13.7343
20 : 70 c 27.6867
20 : 71 c 26.4492
20 : 72 c 12.1424
20 : 83 c 12.4622
21 : 5 c 7.48552
21 : 11 c 49.1837
21 : 16 c 27.6342
21 : 42 c 20.3612
21 : 43 c 0.611805
21 : 44 c 49.5658
21 : 51 c 6.63298
21 : 53 c 46.6726
21 : 53 c 46.6726
21 : 54 c 13.0551
21 : 58 c 0.728806
21 : 62 c 24.0089
21 : 64 c 49.6025
21 : 66 c 45.7998
21 : 73 c 20.4396
21 : 77 c 42.6525
21 : 80 c 47.9682
21 : 80 c 47.9682
21 : 85 c 48.2092
22 : 11 c 47.7552
22 : 12 c 42.1571
22 : 26 c 28.4797
22 : 37 c 10.2138
22 : 40 c 38.128
22 : 44 c 49.6802
22 : 46 c 36.328
22 : 52 c 5.61657
22 : 53 c 46.6106
22 : 53 c 46.6106
22 : 53 c 46.6106
22 : 55 c 47.0227
22 : 64 c 49.501
22 : 65 c 44.0489
22 : 74 c 44.6903
22 : 77 c 42.6985
22 : 81 c 39.9472
22 : 85 c 47.9864
22 : 88 c 34.3151
22 : 90 c 11.8157
22 : 97 c 41.4472
22 : 99 c 1.76178
23 : 5 c 7.40571
23 : 5 c 7.40571
23 : 10 c 34.4437
23 : 10 c 34.4437
23 : 11 c 45.8808
23 : 12 c 44.4875
23 : 17 c 1.01689
23 : 22 c 9.36377
23 : 32 c 19.1615
23 : 32 c 19.1615
23 : 35 c 6.5052
23 : 43 c 0.865788
23 : 44 c 49.7951
23 : 45 c 20.4555
23 : 48 c 11.2429
23 : 51 c 5.85397
23 : 53 c 46.8179
23 : 53 c 46.8179
23 : 60 c 0.472248
23 : 61 c 15.0222
23 : 62 c 26.135
23 : 66 c 46.9207
23 : 66 c 46.9207
23 : 67 c 22.1109
23 : 68 c 49.573
23 : 78 c 39.0367
23 : 84 c 7.05593
23 : 85 c 47.9908
23 : 94 c 10.4307
23 : 94 c 10.4307
23 : 97 c 41.4113
24 : 1 c 47.0017
24 : 4 c 27.6722
24 : 5 c 6.38513
24 : 11 c 48.5883
24 : 12 c 40.3127
24 : 14 c 8.0835
24 : 15 c 3.07851
24 : 30 c 15.8427
24 : 38 c 39.0125
24 : 44 c 49.8111
24 : 45 c 20.7791
24 : 45 c 20.7791
24 : 51 c 6.12427
24 : 53 c 46.5103
24 : 53 c 46.5103
24 : 59 c 34.0403
24 : 64 c 49.4482
24 : 65 c 42.7608
24 : 66 c 47.0889
24 : 85 c 48.0051
24 : 88 c 35.6757
24 : 91 c 45.8923
24 : 95 c 3.34277
24 : 98 c 46.5233
25 : 0 c 0.195805
25 : 6 c 48.8924
25 : 11 c 47.8459
25 : 12 c 43.1958
25 : 20 c 0.114464
25 : 30 c 16.6265
25 : 44 c 49.66
25 : 53 c 46.671
25 : 53 c 46.671
25 : 65 c 47.5341
25 : 66 c 47.0253
25 : 74 c 45.831
25 : 74 c 45.831
25 : 77 c 29.0207
25 : 85 c 48.0301
25 : 86 c 1.13452
25 : 86 c 1.13452
26 : 1 c 37.6838
26 : 2 die
26 : 2 lf 27
26 : 2 a 0.431868
26 : 8 die
26 : 8 lf 27
26 : 8 a 0.539836
26 : 11 c 47.4247
26 : 13 die
26 : 13 lf 27
26 : 13 a 0.215934
26 : 21 c 43.6811
26 : 21 c 43.6811
26 : 23 die
26 : 23 lf 27
26 : 23 a 0.323901
26 : 25 die
26 : 25 lf 27
26 : 25 a 0.863737
26 : 26 c 38.1105
26 : 28 c 1.8097
26 : 30 c 18.1089
26 : 33 c 9.68956
26 : 41 c 9.92772
26 : 44 c 49.6682
26 : 50 c 13.654
26 : 52 c 3.26307
26 : 53 c 47.1834
26 : 53 c 47.1834
26 : 60 c 0.476604
26 : 66 c 46.8457
26 : 66 c 46.8457
26 : 75 die
26 : 75 lf 27
26 : 75 a 0.107967
27 : 4 c 32.086
27 : 11 c 46.7705
27 : 29 c 3.43925
27 : 34 c 35.8373
27 : 35 c 10.8548
27 : 44 c 49.6615
27 : 44 c 49.6615
27 : 51 c 9.39442
27 : 53 c 47.0239
27 : 53 c 47.0239
27 : 53 c 47.0239
27 : 58 c 0.830509
27 : 66 c 46.4898
27 : 66 c 46.4898
27 : 79 c 49.5655
27 : 83 c 12.4136
27 : 89 die
27 : 89 lf 28
27 : 89 a 0.728778
27 : 99 c 0.161045
28 : 5 c 4.4016
28 : 10 c 34.2591
28 : 11 c 43.6613
28 : 12 c 41.9707
28 : 27 c 1.53975
28 : 30 c 19.1876
28 : 33 c 25.669
28 : 39 c 33.038
28 : 39 c 33.038
28 : 39 c 33.038
28 : 42 c 10.8333
28 : 44 c 49.6637
28 : 44 c 49.6637
28 : 45 c 21.6388
28 : 53 c 46.8389
28 : 53 c 46.8389
28 : 53 c 46.8389
28 : 59 c 21.6795
28 : 60 c 0.472824
28 : 66 c 45.9727
28 : 66 c 45.9727
28 : 67 c 18.7437
28 : 68 c 49.5205
28 : 69 die
28 : 69 lf 29
28 : 69 a 0.402084
28 : 72 c 21.3159
28 : 73 c 21.6012
28 : 76 c 42.6411
28 : 78 c 36.9007
28 : 78 c 36.9007
28 : 79 die
28 : 79 lf 29
28 : 79 a 1.00521
28 : 91 c 46.9875
28 : 93 c 30.5534
29 : 6 c 46.5233
29 : 12 c 43.6831
29 : 20 c 0.116974
29 : 21 c 44.2449
29 : 38 c 38.0745
29 : 38 c 38.0745
29 : 41 c 14.3983
29 : 43 c 0.943501
29 : 44 c 49.7219
29 : 44 c 49.7219
29 : 53 c 46.8991
29 : 53 c 46.8991
29 : 53 c 46.8991
29 : 54 c 13.9291
29 : 54 c 13.9291
29 : 55 die
29 : 55 lf 30
29 : 55 a 0.583022
29 : 60 c 0.474636
29 : 62 c 25.3823
29 : 64 die
29 : 64 lf 30
29 : 64 a 0.971704
29 : 66 c 46.8096
29 : 67 c 10.5115
29 : 68 c 49.5374
29 : 70 c 37.1799
29 : 73 c 21.596
29 : 86 c 0.940208
29 : 88 c 37.9437
29 : 95 c 5.81278
30 : 12 c 41.9147
30 : 31 c 8.36166
30 : 33 c 18.262
30 : 35 c 7.70453
30 : 40 c 34.9101
30 : 44 c 49.6481
30 : 44 c 49.6481
30 : 45 c 19.2414
30 : 52 c 3.05168
30 : 52 c 3.05168
30 : 53 c 46.7418
30 : 53 c 46.7418
30 : 53 c 46.7418
30 : 58 c 0.810219
30 : 59 c 37.8842
30 : 62 c 25.4064
30 : 66 c 47.3952
30 : 66 c 47.3952
30 : 66 c 47.3952
30 : 68 die
30 : 68 lf 31
30 : 68 a 0.470179
30 : 73 c 6.67939
30 : 92 c 29.5478
30 : 95 c 3.02226
30 : 96 c 45.0886
30 : 97 c 40.8469
30 : 99 c 0.660091
31 : 0 c 0.310303
31 : 7 die
31 : 7 lf 32
31 : 7 a 0.546583
31 : 11 c 38.5664
31 : 11 c 38.5664
31 : 14 c 9.2674
31 : 14 c 9.2674
31 : 14 c 9.2674
31 : 21 c 44.6452
31 : 22 c 9.85874
31 : 24 c 1.62941
31 : 27 c 10.8394
31 : 35 c 4.60815
31 : 37 c 27.1068
31 : 43 c 2.3685
31 : 44 c 49.4865
31 : 49 die
31 : 49 lf 32
31 : 49 a 0.728778
31 : 53 c 46.2339
31 : 53 c 46.2339
31 : 53 c 46.2339
31 : 56 c 8.19741
31 : 66 c 47.472
31 : 66 c 47.472
31 : 66 c 47.472
31 : 72 c 10.0771
31 : 74 c 45.9827
31 : 80 c 47.4336
31 : 81 c 38.7171
31 : 81 c 38.7171
31 : 87 die
31 : 87 lf 32
31 : 87 a 0.728778
31 : 88 c 24.6876
31 : 91 c 47.4276
31 : 96 c 44.5243
32 : 1 c 43.3292
32 : 6 c 46.7627
32 : 11 c 48.087
32 : 12 c 35.7479
32 : 20 c 0.116463
32 : 21 c 43.3669
32 : 26 c 21.5676
32 : 33 c 12.0757
32 : 35 c 3.57926
32 : 36 c 14.7123
32 : 43 c 1.83692
32 : 44 c 49.4183
32 : 53 c 45.3035
32 : 53 c 45.3035
32 : 53 c 45.3035
32 : 53 c 45.3035
32 : 62 c 25.1539
32 : 66 c 47.6622
32 : 66 c 47.6622
32 : 66 c 47.6622
32 : 66 c 47.6622
32 : 70 c 36.9615
32 : 77 c 38.7278
32 : 80 c 47.9005
32 : 97 c 41.3214
33 : 0 c 0.244026
33 : 6 c 46.4391
33 : 9 c 4.57174
33 : 11 c 48.7559
33 : 11 c 48.7559
33 : 15 c 3.44244
33 : 15 c 3.44244
33 : 21 c 44.9941
33 : 26 c 34.8571
33 : 33 c 22.1636
33 : 44 c 49.4173
33 : 46 c 39.0305
33 : 52 c 3.46103
33 : 59 c 22.5413
33 : 66 c 47.8336
33 : 66 c 47.8336
33 : 72 c 13.3509
33 : 74 c 46.6766
33 : 74 c 46.6766
33 : 77 c 39.497
33 : 80 c 46.4908
33 : 93 c 27.2223
34 : 3 c 19.4751
34 : 5 c 6.61168
34 : 6 c 46.7251
34 : 9 c 8.4297
34 : 11 c 49.1521
34 : 15 c 3.77369
34 : 32 c 25.2544
34 : 38 c 38.7061
34 : 44 c 49.3038
34 : 52 c 2.11466
34 : 52 c 2.11466
34 : 53 c 46.4569
34 : 53 c 46.4569
34 : 62 c 23.6668
34 : 66 c 46.5503
34 : 66 c 46.5503
34 : 66 c 46.5503
34 : 66 c 46.5503
34 : 74 c 47.0724
34 : 78 c 18.9776
34 : 85 die
34 : 85 lf 35
34 : 85 a 0.416445
34 : 96 c 26.3896
34 : 96 c 26.3896
34 : 98 die
34 : 98 lf 35
34 : 98 a 0.499733
35 : 1 c 45.9361
35 : 11 c 49.2229
35 : 21 c 43.2433
35 : 21 c 43.2433
35 : 26 c 38.4579
35 : 30 c 21.2105
35 : 30 c 21.2105
35 : 44 c 49.5252
35 : 52 c 3.38559
35 : 53 c 46.465
35 : 53 c 46.465
35 : 66 c 46.0704
35 : 66 c 46.0704
35 : 74 c 47.3964
35 : 92 c 28.9923
35 : 94 c 15.7091
36 : 11 c 48.07
36 : 11 c 48.07
36 : 30 c 18.8509
36 : 35 c 8.88991
36 : 39 c 31.5328
36 : 39 c 31.5328
36 : 39 c 31.5328
36 : 44 c 49.6176
36 : 53 c 46.3797
36 : 53 c 46.3797
36 : 66 c 45.4862
36 : 66 c 45.4862
36 : 66 c 45.4862
36 : 67 c 1.17583
36 : 70 c 36.1862
36 : 74 c 47.6756
36 : 76 c 15.8642
36 : 81 c 39.6926
36 : 81 c 39.6926
36 : 88 c 35.3532
36 : 90 c 9.56087
36 : 92 c 28.9494
36 : 94 c 19.669
37 : 1 c 46.4501
37 : 5 c 4.62394
37 : 11 c 46.0614
37 : 11 c 46.0614
37 : 16 c 17.2154
37 : 17 c 0.951283
37 : 17 c 0.951283
37 : 27 c 2.92395
37 : 31 c 44.7308
37 : 36 c 46.0454
37 : 44 c 49.7415
37 : 53 c 46.636
37 : 53 c 46.636
37 : 53 c 46.636
37 : 61 c 19.9231
37 : 63 die
37 : 63 lf 38
37 : 63 a 0.23014
37 : 71 c 27.713
37 : 74 c 47.7435
37 : 77 c 36.78
37 : 92 c 36.7115
38 : 1 c 46.7359
38 : 11 c 48.6067
38 : 11 c 48.6067
38 : 12 c 38.6565
38 : 15 c 3.43966
38 : 20 c 0.126205
38 : 21 c 43.564
38 : 36 c 45.5765
38 : 44 c 49.8258
38 : 44 die
38 : 44 lf 39
38 : 44 a 0.523225
38 : 45 c 21.7024
38 : 52 c 1.98631
38 : 53 c 46.5206
38 : 53 c 46.5206
38 : 54 c 15.1981
38 : 66 c 44.6915
38 : 66 c 44.6915
38 : 70 c 36.1504
38 : 74 c 47.7903
38 : 74 c 47.7903
38 : 83 c 12.5368
39 : 1 c 46.9721
39 : 11 c 48.7911
39 : 11 c 48.7911
39 : 14 c 9.66631
39 : 31 c 44.6786
39 : 36 c 14.5298
39 : 38 c 37.6605
39 : 38 c 37.6605
39 : 47 die
39 : 47 lf 40
39 : 47 a 0.145756
39 : 53 c 46.6791
39 : 53 c 46.6791
39 : 71 c 26.9988
39 : 72 c 14.3078
39 : 74 c 48.0074
39 : 77 c 45.3391
39 : 78 c 27.8622
39 : 94 c 9.80832
